icao24,origin_country,velocity,on_ground
c07d0b,Canada,45.69,False
a4d862,United States,50.95,False
801640,India,0.0,True
a4d86a,United States,141.35,False
acdfa6,United States,97.34,False
a4c54a,United States,37.47,False
aae30b,United States,138.43,False
aa9300,United States,174.88,False
a23563,United States,1.8,True
801619,India,261.17,False
7c1bb8,Australia,156.53,False
801622,India,5.92,True
a4d889,United States,232.37,False
851914,Japan,195.38,False
a15bf8,United States,52.14,False
ad6954,United States,51.75,False
801625,India,200.8,False
ad5628,United States,216.62,False
a23578,United States,41.18,False
407a05,United Kingdom,238.58,False
a2ded8,United States,227.71,False
a4b234,United States,110.84,False
ad694c,United States,181.15,False
8a02ca,Indonesia,77.48,False
a34215,United States,206.0,False
a2355d,United States,155.1,False
ac498d,United States,82.21,False
adeca5,United States,269.13,False
ac498c,United States,252.56,False
ab0356,United States,221.18,False
ae6309,United States,6.94,True
abacd2,United States,122.48,False
aae32d,United States,243.13,False
7c725c,Australia,63.81,False
a47597,United States,0.0,True
e80251,Chile,222.25,False
4bc8c2,Turkey,205.35,False
abf008,United States,179.28,False
a61836,United States,10.29,True
801697,India,222.13,False
8a02ae,Indonesia,214.11,False
841a6c,Japan,113.91,False
ac234f,United States,8.23,True
ac101f,United States,217.55,False
acdffc,United States,229.89,False
801663,India,256.71,False
ac3688,United States,171.31,False
ae0ccd,United States,11.42,False
801665,India,275.97,False
801666,India,255.06,False
ae631a,United States,9.77,True
ae1ff9,United States,56.36,False
adecb6,United States,0.0,True
a4d84d,United States,83.49,False
e8026c,Chile,130.79,False
a3689e,United States,162.77,False
a3556f,United States,62.73,False
ac1042,United States,166.76,False
a950cb,United States,69.31,False
e48d49,Brazil,210.93,False
a3b86c,United States,108.08,False
7c1bdd,Australia,131.58,False
a53ee2,United States,274.66,False
ac21e4,United States,189.96,False
0d11c0,Mexico,220.75,False
accd77,United States,57.65,False
a9522d,United States,133.9,False
adda1b,United States,101.73,False
a4b294,United States,162.13,False
e80211,Chile,214.76,False
a8456a,United States,65.39,False
adda24,United States,204.08,False
ac6a65,United States,136.01,False
accd69,United States,258.52,False
8a0418,Indonesia,235.6,False
e8020f,Chile,248.95,False
adb7f4,United States,42.85,False
0800ae,United Republic of Tanzania,236.16,False
a6f23d,United States,152.95,False
adb7f9,United States,67.09,False
4bc8cd,Turkey,256.18,False
a71291,United States,195.92,False
e8021e,Chile,213.67,False
3455c1,Spain,262.4,False
aded77,United States,0.0,True
ad41cd,United States,164.11,False
a127bb,United States,179.69,False
a34291,United States,180.8,False
a9787f,United States,51.0,False
a5d28e,United States,0.0,True
a3428e,United States,290.67,False
c0226c,Canada,245.36,False
e80246,Chile,165.88,False
