icao24,origin_country,velocity,on_ground
ab1644,United States,205.0,False
c047c4,Canada,71.57,False
a4d862,United States,44.7,False
7c2efc,Australia,0.0,True
80162f,India,223.78,False
aa096a,United States,54.82,False
a5f849,United States,0.0,True
acdfa6,United States,104.07,False
ac4963,United States,193.49,False
c81bcf,New Zealand,55.24,False
801657,India,2.06,True
a3b88e,United States,210.31,False
a3ebe2,United States,27.96,False
a36898,United States,199.94,False
a0e247,United States,83.88,False
a22235,United States,33.1,False
acdfd3,United States,111.32,False
aaf656,United States,228.29,False
ad5621,United States,66.65,False
a9a0f1,United States,51.57,False
ad5623,United States,183.78,False
ab0347,United States,49.52,False
7c2ebe,Australia,55.56,False
a89eb9,United States,52.56,False
acdfab,United States,205.52,False
a0e250,United States,0.0,True
a2cba6,United States,188.63,False
407a05,United Kingdom,205.37,False
ad694c,United States,150.97,False
801633,India,193.61,False
a4b238,United States,66.05,False
80166c,India,245.93,False
adeca5,United States,205.84,False
ac365e,United States,50.28,False
0aa002,Barbados,236.4,False
ad564b,United States,184.79,False
a47597,United States,243.26,False
ae1fdc,United States,29.68,False
a6f0fb,United States,69.96,False
4bc8c8,Turkey,197.55,False
aae33a,United States,144.45,False
4bc8c7,Turkey,224.94,False
80167d,India,237.52,False
e8024c,Chile,259.61,False
abf008,United States,269.54,False
e80261,Chile,232.6,False
4bc8d4,Turkey,264.39,False
e8025e,Chile,219.26,False
80164b,India,235.64,False
e8025f,Chile,218.38,False
ac234f,United States,7.46,True
ac101f,United States,254.95,False
a35592,United States,185.77,False
acdffc,United States,113.7,False
47b217,Norway,204.52,False
801665,India,272.99,False
a52ba0,United States,4.12,True
adecb6,United States,214.68,False
80165a,India,0.0,True
aae377,United States,154.35,False
e8026c,Chile,2.83,True
a3556f,United States,206.11,False
ac1042,United States,212.56,False
ad565a,United States,41.93,False
abf025,United States,5.66,True
7c1bdd,Australia,9.26,True
a4c527,United States,206.09,False
ac21e4,United States,0.0,True
abad94,United States,197.49,False
a4b294,United States,206.44,False
a9fbb7,United States,137.83,False
a9fbb6,United States,53.47,False
adda24,United States,2.31,True
a76bec,United States,31.39,False
a9523c,United States,206.02,False
0d11cc,Mexico,179.8,False
a6f23d,United States,256.67,False
e8021a,Chile,235.73,False
a8dbb8,United States,73.25,False
e8021e,Chile,222.49,False
80168a,India,222.94,False
4bc8cb,Turkey,122.0,False
e8021d,Chile,101.07,False
3455c1,Spain,254.21,False
aded77,United States,214.39,False
c81d02,New Zealand,46.92,False
ad41cd,United States,210.65,False
a127bb,United States,256.35,False
a34291,United States,198.37,False
a5d28e,United States,216.85,False
e80244,Chile,236.69,False
c0226c,Canada,168.49,False
a96560,United States,49.52,False
a8a87e,United States,239.64,False
e80242,Chile,251.19,False
e48bf8,Brazil,49.9,False
440219,Austria,224.39,False
a4b243,United States,64.13,False
c07bbe,Canada,231.33,False
7c2ebb,Australia,76.76,False
a6188e,United States,39.67,False
a8eed8,United States,258.04,False
a114f4,United States,116.27,False
a5958c,United States,194.07,False
a8584a,United States,196.75,False
4cc2a3,Iceland,230.42,False
