icao24,origin_country,velocity,on_ground
c81bd2,New Zealand,38.95,False
aa9321,United States,8.75,True
ab6fdd,United States,148.05,False
801645,India,0.0,True
a5953a,United States,32.93,False
8744f6,Japan,187.25,False
80163d,India,248.93,False
aae310,United States,291.39,False
801647,India,11.32,True
801648,India,0.0,False
c81bce,New Zealand,110.59,False
a3b88e,United States,207.43,False
a52bd1,United States,172.07,False
a65eca,United States,44.74,False
acdfa3,United States,250.34,False
adffb0,United States,183.78,False
801616,India,237.88,False
a23563,United States,31.28,False
acdfbe,United States,43.22,False
a6aecd,United States,211.08,False
a1befc,United States,241.95,False
851914,Japan,244.56,False
aaf656,United States,215.04,False
ad5623,United States,207.18,False
ad5628,United States,198.25,False
801626,India,222.02,False
a0e250,United States,230.83,False
a2ded8,United States,175.05,False
a77ed4,United States,42.3,False
ad694c,United States,118.86,False
ac8ff7,United States,38.41,False
407a06,United Kingdom,228.99,False
a34215,United States,0.0,False
aa0955,United States,136.78,False
ac498d,United States,78.58,False
adeca5,United States,280.54,False
ab0356,United States,216.23,False
a2228b,United States,162.13,False
ab034d,United States,260.18,False
4bc8c6,Turkey,0.51,True
c81bff,New Zealand,49.24,False
4bc8c2,Turkey,1.03,True
e80258,Chile,143.2,False
a7bc8e,United States,164.15,False
a4d82c,United States,51.97,False
abf008,United States,217.88,False
a5f808,United States,266.32,False
841a6c,Japan,191.4,False
a2226b,United States,55.71,False
a963f7,United States,225.46,False
ac101f,United States,212.84,False
a35592,United States,184.73,False
801659,India,216.31,False
801662,India,4.37,True
adffdd,United States,223.5,False
e80274,Chile,230.3,False
a34268,United States,4.37,True
e8026e,Chile,224.78,False
a3a541,United States,54.89,False
a3689e,United States,6.94,True
ac1042,United States,0.0,True
a950cb,United States,59.35,False
a950cc,United States,72.07,False
abf025,United States,0.06,True
a3b86c,United States,5.66,True
a53ee2,United States,247.59,False
e8027a,Chile,267.17,False
a4c527,United States,0.0,True
ac21e4,United States,232.31,False
aa8075,United States,62.42,False
abad94,United States,127.08,False
adda1b,United States,106.25,False
a4b294,United States,206.28,False
e80211,Chile,201.11,False
a9fbb7,United States,145.64,False
adda24,United States,127.08,False
adda23,United States,199.46,False
accd69,United States,202.06,False
7c70ee,Australia,104.6,False
86cfa0,Japan,191.17,False
a71264,United States,198.78,False
0d11cc,Mexico,247.94,False
abad96,United States,87.17,False
a6f23d,United States,0.0,True
0d11e6,Mexico,219.16,False
e8021d,Chile,217.42,False
e48be3,Brazil,210.08,False
c81d02,New Zealand,24.53,False
ad41ed,United States,235.72,False
80169e,India,161.31,False
a127bb,United States,176.45,False
0d11f9,Mexico,1.54,True
c0226c,Canada,251.58,False
a5d28c,United States,211.95,False
a88bed,United States,62.35,False
e48bf8,Brazil,58.66,False
c81d1b,New Zealand,37.59,False
a84544,United States,200.13,False
a38a05,United States,196.22,False
c07bbe,Canada,221.67,False
c81d25,New Zealand,121.47,False
c0487a,Canada,45.46,False
a6188e,United States,33.2,False
a8eed8,United States,256.91,False
a58267,United States,0.0,True
ad8a80,United States,27.15,False
a6f207,United States,181.3,False
a114f4,United States,0.0,True
a8584a,United States,0.77,True
46b824,Greece,250.64,False
a114ed,United States,270.69,False
4cc2a7,Iceland,245.57,False
a0f4b5,United States,200.83,False
4cc2a3,Iceland,263.15,False
a1ad1f,United States,30.44,False
ab1628,United States,187.06,False
ab6fbf,United States,236.47,False
7c2ea2,Australia,56.61,False
c80a16,New Zealand,42.58,False
851958,Japan,259.26,False
a27d26,United States,173.96,False
aaf621,United States,121.38,False
a85887,United States,215.04,False
aaf60a,United States,0.0,True
8014a4,India,222.91,False
a38a3a,United States,212.82,False
aa07f9,United States,137.42,False
ab27e1,United States,61.48,False
ab4a09,United States,64.09,False
a4d7dc,United States,135.9,False
8014b3,India,206.29,False
c0481c,Canada,244.93,False
8a0494,Indonesia,234.7,False
a4c4bb,United States,207.91,False
e0b215,Argentina,242.88,False
8014ae,India,178.33,False
a4fa0f,United States,70.15,False
a5f7d9,United States,39.07,False
a64d42,United States,30.94,False
a00929,United States,0.0,True
a3a4ed,United States,283.66,False
8a047a,Indonesia,0.0,True
a64d4d,United States,0.0,True
accd18,United States,189.1,False
e0b244,Argentina,134.91,False
a091f3,United States,263.95,False
e07581,Argentina,192.65,False
a3ed7c,United States,229.67,False
c02207,Canada,204.86,False
84d283,Japan,130.24,False
87457e,Japan,168.12,False
ad67ae,United States,7.2,True
84d28e,Japan,192.67,False
a234ef,United States,204.28,False
34448d,Spain,209.46,False
ac47de,United States,241.41,False
a02a95,United States,226.16,False
c81d93,New Zealand,43.18,False
8014e8,India,223.76,False
e49eec,Brazil,134.51,False
e49eee,Brazil,116.75,False
e49eef,Brazil,227.08,False
aa3d09,United States,183.42,False
c81d9d,New Zealand,115.78,False
a3b7d1,United States,277.39,False
ac34bf,United States,214.11,False
e49ef1,Brazil,243.24,False
86ced2,Japan,182.16,False
7c1c99,Australia,135.52,False
a40d8d,United States,204.36,False
e0b255,Argentina,172.04,False
ac6a1f,United States,285.74,False
a39d9b,United States,238.54,False
e48ba9,Brazil,218.78,False
e49eca,Brazil,244.39,False
c0480c,Canada,81.2,False
a40d7a,United States,4.89,True
a64d15,United States,54.07,False
8014bb,India,237.34,False
a64d16,United States,164.28,False
e0b285,Argentina,215.07,False
8014bd,India,0.0,False
e0b284,Argentina,237.33,False
e49ed5,Brazil,124.5,False
a4d7e0,United States,148.87,False
7cf9ff,Australia,131.83,False
a4d7e4,United States,211.13,False
a12921,United States,45.39,False
abad6c,United States,183.31,False
7c1c4b,Australia,59.16,False
a39d95,United States,99.84,False
ad9d59,United States,50.53,False
7c1c4f,Australia,96.25,False
7c2f92,Australia,32.05,False
a4fa91,United States,52.08,False
aaf58b,United States,56.92,False
8a03a5,Indonesia,137.03,False
c033de,Canada,116.52,False
a03ce6,United States,201.6,False
0d1258,Mexico,125.39,False
a10323,United States,62.11,False
ab0299,United States,29.84,False
a28fb4,United States,200.41,False
a03cb6,United States,0.77,True
a3ffaf,United States,0.0,True
a59601,United States,218.36,False
a99a31,United States,61.27,False
c033fe,Canada,104.46,False
a0f60d,United States,50.86,False
ae6235,United States,53.39,False
ab029d,United States,47.98,False
c07c92,Canada,157.79,False
a594fa,United States,159.48,False
a5d1b9,United States,0.77,True
a3696e,United States,180.14,False
a41fe4,United States,62.26,False
a88d47,United States,0.06,True
c046f4,Canada,144.31,False
a75a2d,United States,0.64,True
a76d5a,United States,146.62,False
0d1202,Mexico,232.98,False
7c1c10,Australia,0.77,True
a88d49,United States,65.27,False
a35655,United States,44.38,False
a99a15,United States,78.44,False
a75a21,United States,57.68,False
a2cca7,United States,11.73,False
801612,India,271.98,False
7809eb,China,208.45,False
c020a9,Canada,72.43,False
a27cc0,United States,117.63,False
a7aa1f,United States,37.1,False
c81ce8,New Zealand,54.49,False
7c2f03,Australia,0.0,True
a977d4,United States,95.19,False
ac47b7,United States,219.36,False
c046f7,Canada,198.81,False
ae6277,United States,8.23,True
a64d9a,United States,29.56,False
80174a,India,185.33,False
a6afd8,United States,269.59,False
a2ccee,United States,51.17,False
a4d97e,United States,146.16,False
801759,India,233.21,False
a46345,United States,247.3,False
