icao24,origin_country,velocity,on_ground
a53edd,United States,93.24,False
801640,India,153.34,False
a3feee,United States,5.92,True
a5953a,United States,53.5,False
a3b87f,United States,254.14,False
801647,India,269.89,False
c81bce,New Zealand,131.4,False
a3b88e,United States,275.34,False
c81bcc,New Zealand,23.15,False
a36898,United States,254.43,False
acdfa3,United States,201.24,False
80160b,India,205.89,False
a23563,United States,1.54,True
7c2ee7,Australia,74.99,False
a5955b,United States,57.65,False
a4b228,United States,232.14,False
851914,Japan,12.86,True
ad5623,United States,212.19,False
ad5628,United States,12.35,True
ac7cd5,United States,0.06,True
a2cba6,United States,0.0,True
ad694c,United States,250.4,False
407a06,United Kingdom,216.13,False
a34215,United States,2.31,True
a36878,United States,190.41,False
aa4fc9,United States,50.17,False
ac498d,United States,68.03,False
adeca5,United States,256.53,False
ab0356,United States,215.14,False
a2228b,United States,207.91,False
7c7268,Australia,50.91,False
a47597,United States,220.72,False
e80251,Chile,229.93,False
ab034d,United States,228.22,False
aae33a,United States,229.26,False
4bc8c7,Turkey,210.94,False
c81bff,New Zealand,46.56,False
4bc8c2,Turkey,218.23,False
4bc8c1,Turkey,212.79,False
a53eb2,United States,71.15,False
e8024f,Chile,233.75,False
a5f808,United States,149.16,False
a950eb,United States,239.29,False
ad563d,United States,216.53,False
e80269,Chile,224.54,False
80164f,India,136.38,False
ac101f,United States,204.46,False
acdffc,United States,206.7,False
801659,India,267.71,False
801662,India,3.86,True
ac3688,United States,187.74,False
e80275,Chile,4.89,True
801666,India,223.16,False
ad3006,United States,257.52,False
80165c,India,189.21,False
8a02a5,Indonesia,238.44,False
e8026c,Chile,249.96,False
801669,India,0.0,True
a3556f,United States,182.03,False
abf025,United States,181.02,False
a3b86c,United States,148.76,False
a950ce,United States,272.04,False
a53ee2,United States,86.43,False
ac21e4,United States,0.0,True
c02267,Canada,182.94,False
abad94,United States,174.67,False
a4b294,United States,192.3,False
e80212,Chile,210.65,False
adda24,United States,2.57,True
adda25,United States,249.47,False
a127d4,United States,41.27,False
e80215,Chile,251.24,False
aae1ed,United States,134.61,False
accd69,United States,6.94,True
86cfa0,Japan,184.63,False
8a0418,Indonesia,244.47,False
e8020c,Chile,204.24,False
3455d5,Spain,223.88,False
e0b299,Argentina,193.27,False
a5829d,United States,70.48,False
a14a09,United States,52.76,False
a6f23d,United States,182.66,False
0d11e4,Mexico,157.35,False
a9653d,United States,258.85,False
a71291,United States,204.48,False
4bc8ce,Turkey,31.75,False
e8021d,Chile,134.59,False
e48be3,Brazil,222.01,False
ad41cd,United States,273.61,False
ad41ed,United States,1.29,False
e8022a,Chile,258.0,False
a127bb,United States,269.06,False
0d11f9,Mexico,110.64,False
46b82d,Greece,262.83,False
a5d28e,United States,229.88,False
ab6fa4,United States,27.57,False
c07bc7,Canada,228.42,False
a72563,United States,98.02,False
c81d25,New Zealand,136.89,False
c0487a,Canada,53.24,False
acba97,United States,45.38,True
ac4917,United States,198.2,False
4cc2ad,Iceland,246.19,False
a7ced2,United States,127.59,False
a72567,United States,67.66,False
a58267,United States,241.68,False
a52bfb,United States,195.8,False
ac491d,United States,92.11,False
a101c3,United States,187.6,False
a4c592,United States,1.8,True
a5958c,United States,240.38,False
8851e5,Thailand,208.47,False
a8584c,United States,46.52,False
4cc2a7,Iceland,84.41,False
867fac,Japan,279.41,False
a1ad1f,United States,44.86,False
7c2ea2,Australia,50.95,False
a14a18,United States,69.8,False
aaf621,United States,60.78,False
a8a82f,United States,204.35,False
a6f226,United States,116.21,False
aaf60a,United States,7.46,True
a39d11,United States,0.0,True
47b0e7,Norway,214.11,False
a8320e,United States,247.09,False
a091fd,United States,0.0,True
aa07f9,United States,284.25,False
7cf9f7,Australia,137.16,False
a3ed69,United States,248.48,False
a64d38,United States,61.13,False
7c1c50,Australia,64.31,False
87455c,Japan,194.77,False
a2cd68,United States,251.63,False
c04830,Canada,1.8,True
ac34a0,United States,255.03,False
a26a4f,United States,203.24,False
c0481c,Canada,218.63,False
ad67a4,United States,114.23,False
a5f7d9,United States,40.21,False
a3a4ed,United States,201.23,False
accd10,United States,270.95,False
ad9d0f,United States,42.56,False
ab5d52,United States,266.42,False
a091f3,United States,202.22,False
e07584,Argentina,121.88,False
a3ed89,United States,72.32,False
ab5d4a,United States,152.5,False
ab14d9,United States,230.92,False
a474b4,United States,61.91,False
84d283,Japan,173.06,False
7cf9c4,Australia,221.72,False
a234ef,United States,263.27,False
a3ed91,United States,200.62,False
aaf4c8,United States,216.41,False
a88d10,United States,219.31,False
ac47de,United States,191.48,False
a9a289,United States,214.53,False
a26a44,United States,59.92,False
aa3d09,United States,149.12,False
c81d9d,New Zealand,215.63,False
ab14f5,United States,61.77,False
8014db,India,262.15,False
a00952,United States,186.44,False
8014de,India,0.9,True
c04800,Canada,41.75,False
a40d8d,United States,0.0,True
ad9d31,United States,39.65,False
a39d9b,United States,2.06,True
e48ba9,Brazil,239.71,False
aaf4ee,United States,116.17,False
ae74ad,United States,48.58,False
a40d7a,United States,164.26,False
a64d16,United States,228.23,False
e0b285,Argentina,191.22,False
a5f7c2,United States,65.68,False
acba1b,United States,211.95,False
ac21af,United States,250.59,False
8a0441,Indonesia,201.54,False
a3b7f4,United States,217.44,False
e49ed4,Brazil,149.22,False
86cee7,Japan,206.31,False
a4d7e4,United States,10.29,True
