icao24,origin_country,velocity,on_ground
e8027c,Chile,218.73,False
e8027d,Chile,216.76,False
aa9321,United States,250.71,False
a4d862,United States,43.24,False
801640,India,96.87,False
a3b87f,United States,179.8,False
c07d20,Canada,3.86,True
7c2eff,Australia,0.0,False
80162e,India,223.49,False
7c1bc4,Australia,86.46,False
acdfa6,United States,261.12,False
801657,India,0.0,True
a36898,United States,216.53,False
acdfa3,United States,231.57,False
a3a578,United States,212.87,False
a5954e,United States,124.42,False
c047e7,Canada,45.07,False
801619,India,233.23,False
7c1bb9,Australia,38.45,False
a1befc,United States,229.56,False
a4d889,United States,211.7,False
aaf656,United States,248.58,False
a15bf8,United States,52.23,False
ad5622,United States,272.03,False
ad5623,United States,85.4,False
ad6954,United States,56.74,False
a6aec4,United States,181.39,False
ab0347,United States,38.16,False
801627,India,219.65,False
ad5628,United States,204.48,False
a0e250,United States,223.79,False
a0e23b,United States,39.29,False
a2ded8,United States,183.33,False
ad694c,United States,212.6,False
407a06,United Kingdom,211.88,False
a2355d,United States,66.22,False
ac498d,United States,83.3,False
ac498c,United States,253.66,False
adeca5,United States,215.39,False
aad012,United States,283.83,False
abacd2,United States,0.26,True
ae6304,United States,4.37,True
a47597,United States,1.29,True
4bc8c2,Turkey,9.46,False
e8024c,Chile,4.37,True
801697,India,225.27,False
4bc8d6,Turkey,218.13,False
4bc8d4,Turkey,231.81,False
a2226b,United States,54.35,False
a963f7,United States,219.12,False
ac234f,United States,241.08,False
ac101f,United States,208.05,False
a39bfa,United States,251.56,False
ad5679,United States,0.0,True
80164c,India,118.91,False
acdffc,United States,1.54,True
801659,India,263.71,False
801661,India,239.56,False
ac3688,United States,220.32,False
7c7239,Australia,53.52,False
801669,India,0.0,True
a3689e,United States,0.06,True
a3556f,United States,236.3,False
a950cb,United States,48.88,False
abf025,United States,211.92,False
a950ce,United States,234.27,False
a53ee2,United States,248.14,False
801671,India,174.73,False
0d11c0,Mexico,107.76,False
ab01ee,United States,49.73,False
adda1b,United States,111.13,False
abad94,United States,179.32,False
adda32,United States,6.19,False
e80211,Chile,76.2,False
a8456a,United States,34.53,False
a7bbe9,United States,232.87,False
ac6a65,United States,0.0,True
86cfa0,Japan,132.76,False
8a0419,Indonesia,72.92,False
e8020c,Chile,236.42,False
3455d5,Spain,269.19,False
e8020f,Chile,2.31,True
a5829d,United States,220.37,False
a6f23d,United States,201.08,False
0d11e4,Mexico,199.99,False
acba5a,United States,48.63,False
a71291,United States,230.21,False
e8021e,Chile,232.15,False
e8021d,Chile,214.81,False
aded77,United States,0.0,True
a71295,United States,11.32,True
