icao24,origin_country,velocity,on_ground
a5f852,United States,42.91,False
e8027e,Chile,214.89,False
e8027d,Chile,231.47,False
a53edd,United States,58.46,False
ab6fdd,United States,241.01,False
a3b87f,United States,202.2,False
a3feee,United States,45.89,False
ab030d,United States,77.97,False
3cf0b8,Germany,202.81,False
acdfa6,United States,186.54,False
c07d11,Canada,41.17,False
ac4963,United States,3.09,True
a3b88e,United States,175.24,False
a52bd1,United States,156.7,False
a4d879,United States,241.87,False
a36898,United States,0.0,True
ac496b,United States,70.03,False
aae323,United States,164.13,False
c81bf5,New Zealand,65.71,False
a5954e,United States,202.19,False
a23563,United States,53.94,False
aa3ca7,United States,49.2,False
aaf656,United States,199.68,False
a15bf8,United States,48.04,False
a72545,United States,56.18,False
ad5622,United States,12.86,True
80161c,India,67.38,False
ac231d,United States,84.6,False
a22248,United States,20.18,False
a89eb9,United States,50.21,False
acdfab,United States,0.0,True
a0e250,United States,238.53,False
39de48,France,210.17,False
a0e23b,United States,41.85,False
a48850,United States,256.12,False
ae1faa,United States,0.0,False
ad694c,United States,205.51,False
407a06,United Kingdom,216.27,False
aa4fc9,United States,52.51,False
44028c,Austria,191.72,False
adeca5,United States,221.16,False
a2228b,United States,72.24,False
a9b3f0,United States,170.98,False
4acb01,Sweden,223.85,False
4acb02,Sweden,224.73,False
4acb04,Sweden,15.43,True
adffbe,United States,91.11,False
a47597,United States,278.5,False
ab034d,United States,288.17,False
aae33a,United States,201.66,False
4bc8c6,Turkey,237.83,False
4bc8c1,Turkey,216.12,False
adffc5,United States,224.45,False
abf008,United States,151.86,False
a61836,United States,191.66,False
511172,Estonia,223.96,False
a5f808,United States,213.83,False
adffad,United States,239.59,False
e80267,Chile,239.37,False
4bc8d6,Turkey,250.14,False
a59521,United States,113.5,False
a963f7,United States,242.93,False
ac234f,United States,209.53,False
80164c,India,111.55,False
ad5679,United States,250.81,False
a39bfa,United States,206.48,False
ac101f,United States,151.37,False
47b217,Norway,272.11,False
471efe,Hungary,251.02,False
471efc,Hungary,94.96,False
ac3688,United States,197.31,False
a950bf,United States,232.6,False
a59529,United States,57.52,False
44029f,Austria,219.42,False
adecb6,United States,183.61,False
a3689e,United States,0.0,True
ae6311,United States,136.72,False
abf025,United States,272.81,False
a2cbe8,United States,92.18,False
a3b86c,United States,256.39,False
801670,India,138.73,False
a4754d,United States,78.2,False
aa8075,United States,268.72,False
ab01ee,United States,41.56,False
accd77,United States,65.51,False
a03d49,United States,228.09,False
abad94,United States,248.99,False
a4b294,United States,135.43,False
a8dbd3,United States,321.19,False
a7bbe9,United States,215.04,False
a9fbb6,United States,46.48,False
adda24,United States,220.89,False
39470b,France,138.81,False
a9a215,United States,60.72,False
ac6a65,United States,277.74,False
accd69,United States,279.45,False
0d11d1,Mexico,210.9,False
e8020b,Chile,209.17,False
3455d9,Spain,72.41,False
e0b298,Argentina,40.97,False
4acb59,Sweden,221.51,False
a5829d,United States,70.48,False
a0f4a2,United States,279.13,False
a6f23d,United States,211.48,False
a9653d,United States,145.13,False
a71291,United States,136.34,False
4acb23,Sweden,217.22,False
4bc8cb,Turkey,234.31,False
aae1fa,United States,95.49,False
4bc8ca,Turkey,238.1,False
c81d02,New Zealand,49.48,False
ac6a85,United States,57.56,False
ad41cd,United States,147.23,False
ad41ed,United States,216.82,False
a9521f,United States,68.35,False
46b82c,Greece,221.36,False
46b82f,Greece,262.43,False
a5d28e,United States,153.54,False
a3428e,United States,197.66,False
c0226c,Canada,225.76,False
a8a87e,United States,142.53,False
e48bf8,Brazil,126.02,False
c07bc7,Canada,13.38,True
adda5f,United States,272.29,False
a26a1d,United States,145.99,False
46b832,Greece,246.44,False
ac4917,United States,24.18,True
a091d5,United States,226.85,False
a72567,United States,199.21,False
a8eed8,United States,2.57,True
a58267,United States,143.74,False
a7cebf,United States,0.06,True
440201,Austria,199.34,False
a101c3,United States,195.77,False
a114f4,United States,214.23,False
a26a0d,United States,37.23,False
a5958c,United States,76.28,False
a8584a,United States,186.67,False
a5f87d,United States,46.94,False
a1ad46,United States,113.5,False
a1ad44,United States,214.29,False
a15d6e,United States,180.63,False
a15d6c,United States,52.27,False
aa099e,United States,220.53,False
440237,Austria,218.25,False
adda95,United States,49.94,False
aa3ce7,United States,214.08,False
aaf617,United States,254.61,False
a27d26,United States,180.4,False
aaf621,United States,83.62,False
0d11b3,Mexico,215.81,False
c04893,Canada,47.61,False
a247df,United States,45.09,False
47880d,Norway,242.97,False
440224,Austria,211.89,False
a6f226,United States,227.95,False
aaf60a,United States,218.74,False
a39d11,United States,236.09,False
a96521,United States,131.78,False
ac4947,United States,86.34,False
e80209,Chile,236.87,False
a7bbb2,United States,211.42,False
a3a4cb,United States,1.03,True
ae629b,United States,235.28,False
aa07f9,United States,280.28,False
a101f9,United States,275.4,False
c0482a,Canada,220.83,False
ab27e1,United States,47.96,False
a617e8,United States,117.71,False
a737cb,United States,190.5,False
885226,Thailand,251.37,False
a221d4,United States,58.65,False
885222,Thailand,267.29,False
e49ec9,Brazil,228.27,False
885221,Thailand,227.41,False
343194,Spain,220.09,False
c04830,Canada,45.81,False
c0481b,Canada,239.5,False
c0481c,Canada,213.82,False
a1ad7b,United States,171.78,False
a5f7d9,United States,42.75,False
a39d5d,United States,5.14,True
a00929,United States,0.0,True
a63a1a,United States,32.05,False
4aca81,Sweden,0.0,True
accd10,United States,0.64,True
c81d7e,New Zealand,221.42,False
8a047a,Indonesia,118.0,False
c0484c,Canada,105.77,False
4aca89,Sweden,225.7,False
a581c1,United States,41.15,False
a88d26,United States,266.22,False
a091f3,United States,137.29,False
e07582,Argentina,3.86,True
a3ed89,United States,28.81,True
ab5d4a,United States,250.84,False
ab14d9,United States,250.12,False
84d283,Japan,161.04,False
c04850,Canada,37.04,True
a9529f,United States,62.36,False
4aca90,Sweden,135.1,False
4aca93,Sweden,214.92,False
4aca92,Sweden,118.05,False
ad67ab,United States,125.01,False
a2cd44,United States,37.84,False
4aca96,Sweden,189.64,False
a3ed96,United States,126.74,False
4aca98,Sweden,124.89,False
a3ed91,United States,199.22,False
a26a2c,United States,111.59,False
a234ef,United States,235.06,False
aaf4d3,United States,51.68,False
a88d10,United States,258.08,False
a38a21,United States,134.89,False
4aca8c,Sweden,5.66,True
a857c9,United States,161.02,False
a6f28c,United States,4.12,True
8014e8,India,236.87,False
e49eec,Brazil,105.65,False
e49eeb,Brazil,232.0,False
a40d9b,United States,190.14,False
a2ba7e,United States,278.67,False
e49eef,Brazil,248.66,False
aa3d09,United States,122.82,False
