icao24,origin_country,velocity,on_ground
ae1fa7,United States,58.72,False
ab1644,United States,232.46,False
ab6fdd,United States,200.12,False
a3b87f,United States,93.2,False
801647,India,47.85,False
801648,India,145.08,False
a3687e,United States,71.63,False
acdfa6,United States,3.86,True
801657,India,196.87,False
a36898,United States,111.31,False
801616,India,153.22,False
a5954e,United States,66.97,False
aaf656,United States,177.91,False
a15bf8,United States,45.0,False
a6053c,United States,47.08,False
a09273,United States,64.67,False
80161a,India,204.65,False
ad5628,United States,0.0,True
801626,India,226.33,False
a2cba6,United States,196.27,False
ad694c,United States,189.34,False
407a06,United Kingdom,0.51,True
c047cf,Canada,62.08,False
a4758e,United States,65.55,False
adffd6,United States,236.32,False
adeca5,United States,225.92,False
a950e9,United States,69.49,False
a2228b,United States,225.01,False
a34280,United States,40.57,False
7c725c,Australia,36.03,False
e80258,Chile,221.58,False
4bc8c1,Turkey,217.6,False
a7bc8e,United States,101.62,False
e8024c,Chile,0.0,True
e80269,Chile,219.67,False
a2226b,United States,40.96,False
80164e,India,1.03,True
acdffc,United States,108.19,False
47b217,Norway,229.98,False
801659,India,2.06,True
ac3688,United States,222.36,False
e80273,Chile,221.44,False
801667,India,205.79,False
801665,India,242.02,False
a34268,United States,267.33,False
8744d4,Japan,279.14,False
a59530,United States,6.94,True
a5f825,United States,10.29,True
ac1042,United States,178.43,False
a950cb,United States,52.93,False
adffcf,United States,235.02,False
a4c527,United States,44.74,False
abad94,United States,183.31,False
adda1b,United States,1.29,True
0d11c9,Mexico,66.52,False
e80211,Chile,76.21,False
a5e58b,United States,74.24,False
e80210,Chile,198.39,False
adda24,United States,272.53,False
e80214,Chile,218.04,False
e8020f,Chile,292.49,False
a5829d,United States,221.45,False
0d11cc,Mexico,93.5,False
e8021c,Chile,261.65,False
0d11e4,Mexico,174.3,False
acba5a,United States,28.67,False
80168a,India,0.0,True
aded77,United States,182.51,False
c81d02,New Zealand,27.11,False
ad41cd,United States,147.01,False
ad41ed,United States,226.09,False
80169e,India,238.12,False
a127bb,United States,222.7,False
46b82d,Greece,211.36,False
a3428e,United States,254.28,False
a5d28e,United States,272.21,False
c0226c,Canada,266.05,False
a5d28c,United States,236.45,False
a71288,United States,52.47,False
a88bee,United States,45.24,False
a5f894,United States,183.34,False
adda5f,United States,215.26,False
46b831,Greece,9.77,True
851936,Japan,192.95,False
a9c834,United States,41.8,False
a02a66,United States,62.64,False
4cc2ad,Iceland,229.94,False
a8eed8,United States,0.0,True
a58267,United States,186.95,False
c81d2e,New Zealand,27.97,False
ab1614,United States,56.59,False
a247fd,United States,85.07,False
a27d3c,United States,28.3,False
a5958c,United States,186.97,False
a26a0d,United States,37.21,True
8851e2,Thailand,48.49,False
46b825,Greece,243.79,False
4cc2a3,Iceland,237.64,False
ab1628,United States,214.3,False
7c2ea2,Australia,57.44,False
a03d71,United States,87.43,False
a091b4,United States,160.99,False
a71257,United States,60.04,False
c04893,Canada,61.48,False
a85887,United States,280.55,False
a39d11,United States,180.68,False
