icao24,origin_country,velocity,on_ground
aa9321,United States,234.81,False
801641,India,220.13,False
801643,India,162.04,False
7c2eff,Australia,0.0,False
80162e,India,225.56,False
aae312,United States,228.18,False
801648,India,231.54,False
c047b3,Canada,174.34,False
a5820f,United States,59.38,False
acdfa6,United States,242.9,False
ac4963,United States,277.95,False
801657,India,242.44,False
80163f,India,238.72,False
a36898,United States,218.52,False
a41ee6,United States,241.21,False
80160a,India,7.2,True
a73879,United States,68.56,False
80160f,India,240.12,False
aaf656,United States,115.28,False
801625,India,1.54,True
acdfab,United States,216.08,False
ad694c,United States,189.58,False
407a06,United Kingdom,225.37,False
801633,India,252.2,False
a34215,United States,64.39,False
a2228b,United States,225.0,False
8a02d3,Indonesia,238.63,False
a47597,United States,203.59,False
e80252,Chile,208.94,False
4bc8c6,Turkey,237.39,False
e80258,Chile,220.19,False
80167c,India,267.61,False
abf008,United States,163.71,False
a5f808,United States,259.42,False
a127a0,United States,59.47,False
e80261,Chile,239.54,False
841a6c,Japan,167.9,False
80164b,India,248.71,False
80164e,India,235.62,False
ac234f,United States,256.47,False
80164c,India,212.1,False
801661,India,135.07,False
e80274,Chile,231.36,False
ab0380,United States,39.15,False
ae631a,United States,149.61,False
a34268,United States,135.32,False
e8026f,Chile,202.5,False
80165c,India,240.23,False
e8026e,Chile,189.4,False
adecb6,United States,100.74,False
e8026d,Chile,197.58,False
80165d,India,243.62,False
ac1042,United States,223.61,False
801673,India,248.89,False
abf025,United States,71.3,False
a3b86c,United States,0.0,True
a4c527,United States,135.77,False
e8027a,Chile,253.99,False
ae630d,United States,92.49,False
801670,India,246.63,False
ae630a,United States,143.7,False
aa8075,United States,88.61,False
adda1b,United States,97.89,False
8a0423,Indonesia,102.44,False
8a0424,Indonesia,76.18,False
adda24,United States,4.89,True
ac6a65,United States,71.91,False
accd69,United States,87.24,False
8a0418,Indonesia,235.82,False
adb7ee,United States,214.77,False
a71264,United States,110.66,False
a0f4a2,United States,8.75,True
abad96,United States,87.8,False
a6f23d,United States,214.68,False
e8021c,Chile,197.46,False
e8021d,Chile,73.46,False
3455c1,Spain,244.52,False
aded77,United States,225.99,False
0d11f9,Mexico,204.08,False
a3428e,United States,166.36,False
a5d28c,United States,214.15,False
e80241,Chile,234.69,False
a8dbbd,United States,192.58,False
478854,Norway,268.29,False
c81d1b,New Zealand,47.04,False
a38a05,United States,184.32,False
851936,Japan,253.59,False
46b833,Greece,210.11,False
a6188e,United States,52.17,False
a58267,United States,204.32,False
a101c3,United States,239.74,False
a114f4,United States,212.28,False
a4c592,United States,156.4,False
a5958c,United States,0.0,True
a8584a,United States,100.32,False
a114ed,United States,0.0,True
aa099e,United States,216.52,False
a0f4b5,United States,184.36,False
7c2ea2,Australia,46.54,False
a27d26,United States,176.79,False
c04893,Canada,47.24,False
a8320e,United States,304.05,False
a38a3a,United States,183.82,False
8014a3,India,258.14,False
c0482a,Canada,253.8,False
a3ed69,United States,241.2,False
a38a50,United States,9.27,False
7cf9de,Australia,134.58,False
7cf9da,Australia,131.64,False
87455c,Japan,209.03,False
e49ec9,Brazil,235.53,False
7cf9db,Australia,72.44,False
7cf9dc,Australia,128.57,False
885223,Thailand,245.06,False
a14a95,United States,74.48,False
aaf4a5,United States,313.27,False
7cf9e8,Australia,155.82,False
7cf9e4,Australia,56.04,False
8014ad,India,224.02,False
a4fa0f,United States,29.49,False
7cf9e1,Australia,80.1,False
7c1c45,Australia,129.69,False
a00929,United States,208.36,False
accd13,United States,204.13,False
accd10,United States,18.52,True
a64d4d,United States,241.82,False
a091f3,United States,145.17,False
e07585,Argentina,211.37,False
e07584,Argentina,262.98,False
e07583,Argentina,76.48,False
c81d82,New Zealand,239.63,False
84d283,Japan,182.02,False
c81d8e,New Zealand,235.55,False
a234ef,United States,6.17,True
a3ed91,United States,295.34,False
84d28e,Japan,278.75,False
ac47de,United States,274.06,False
a857c2,United States,122.41,False
8014e5,India,214.65,False
e49eeb,Brazil,256.43,False
c81d9d,New Zealand,217.28,False
8014da,India,165.1,False
8014db,India,214.68,False
a3b7d1,United States,176.97,False
86ced2,Japan,191.54,False
ac6a24,United States,35.44,False
