origin_country,total_flights,avg_velocity,on_ground
Algeria,2,230.35,0
Angola,2,243.74,0
Argentina,9,146.72777777777776,1
Armenia,1,675.97,0
Australia,397,103.75735516372795,77
Austria,10,147.419,1
Azerbaijan,2,169.57999999999998,1
Bahamas,1,197.04,0
Bahrain,3,252.04666666666665,0
Bangladesh,6,226.8983333333333,0
Belarus,2,199.97,0
Belgium,5,96.444,3
Bhutan,4,171.6125,0
Bolivia,2,219.70499999999998,0
Brazil,96,170.95760416666667,7
Brunei Darussalam,1,83.24,0
Bulgaria,2,265.125,0
Canada,365,145.11361643835616,62
Central African Republic,1,152.06,0
Chad,1,143.53,0
Chile,26,195.75115384615384,1
China,121,175.20272727272726,17
Colombia,6,154.85666666666665,1
Czech Republic,2,247.73000000000002,0
Denmark,4,162.3025,0
Dominican Republic,3,234.65333333333334,0
Egypt,21,208.36714285714285,0
Estonia,1,14.4,1
Ethiopia,10,258.332,0
Fiji,3,155.76333333333332,1
Finland,8,229.7875,1
France,50,170.179,10
Georgia,3,90.92666666666666,2
Germany,45,152.31933333333333,11
Greece,7,170.1142857142857,2
Guatemala,3,14.549999999999999,1
Hungary,3,64.19333333333333,2
Iceland,10,199.93800000000002,1
India,68,192.0135294117647,6
Indonesia,27,167.26629629629628,2
Ireland,31,173.4641935483871,6
Islamic Republic of Iran,2,230.79,0
Israel,18,242.4616666666667,0
Italy,5,188.584,0
Japan,172,169.2664534883721,20
Jordan,3,195.23333333333335,0
Kazakhstan,1,225.02,0
Kingdom of the Netherlands,14,204.45214285714286,2
Kuwait,2,181.345,0
Kyrgyzstan,1,231.1,0
Latvia,2,229.115,0
Lithuania,4,131.0,2
Luxembourg,6,254.215,0
Malaysia,35,185.31657142857142,2
Maldives,1,253.75,0
Malta,7,152.40142857142857,1
Mexico,94,175.01787234042553,10
Morocco,4,230.725,0
Myanmar,6,152.56666666666666,0
Nepal,1,152.13,0
New Zealand,84,85.12035714285715,6
Norway,3,247.1933333333333,0
Oman,2,118.78,0
Pakistan,2,251.805,0
Panama,16,228.625,0
Philippines,48,135.51166666666666,5
Poland,12,210.25583333333336,0
Portugal,12,131.17416666666665,3
Qatar,27,234.25037037037038,0
Republic of Korea,91,193.84329670329672,6
Republic of Moldova,4,184.1025,1
Romania,3,185.45666666666668,0
Russian Federation,18,163.51166666666666,1
San Marino,1,250.39,0
Saudi Arabia,13,242.29923076923075,0
Singapore,30,203.196,2
Solomon Islands,1,237.8,0
Spain,34,193.65205882352942,1
Sri Lanka,1,242.01,0
Sweden,3,155.20333333333335,1
Switzerland,13,167.63846153846154,4
Taiwan,44,183.5381818181818,4
Thailand,29,158.46137931034482,4
Trinidad and Tobago,4,181.705,0
Tunisia,1,204.86,0
Turkey,129,205.1757364341085,6
Turkmenistan,1,5.4,1
Ukraine,5,243.86999999999998,0
United Arab Emirates,63,221.69507936507938,1
United Kingdom,120,186.24208333333334,15
United Republic of Tanzania,1,236.16,0
United States,5436,137.19337750782256,482
Uzbekistan,5,209.046,0
Venezuela,1,250.06,0
Viet Nam,8,143.78,2
