origin_country,total_flights,avg_velocity,on_ground
Afghanistan,2,257.52,0
Algeria,4,247.5625,0
Angola,1,188.42,0
Argentina,17,196.48411764705884,0
Australia,348,104.94439655172414,101
Austria,14,138.375,4
Azerbaijan,1,254.15,0
Bahrain,7,225.3685714285714,0
Bangladesh,7,229.13714285714286,0
Barbados,1,236.4,0
Belgium,5,193.412,1
Bhutan,2,93.0,1
Brazil,110,157.3759090909091,10
Brunei Darussalam,1,69.87,0
Bulgaria,4,150.3225,0
Canada,384,150.24388020833334,59
Chad,1,182.26,0
Chile,30,187.095,3
China,122,182.45155737704917,17
Colombia,7,209.7057142857143,0
Croatia,1,235.31,0
Czech Republic,4,236.7425,0
Denmark,8,152.91125,2
Dominican Republic,1,188.01,0
Ecuador,1,235.98,0
Egypt,22,212.55454545454543,0
Equatorial Guinea,1,192.16,0
Estonia,1,8.23,1
Ethiopia,3,214.33,0
Fiji,3,209.64666666666668,0
Finland,9,252.71555555555557,0
France,44,201.32,3
Georgia,5,109.674,3
Germany,54,172.59962962962962,8
Greece,4,126.66749999999999,2
Guatemala,1,76.2,0
Hungary,5,228.358,0
Iceland,11,226.70909090909092,0
India,78,162.26141025641024,15
Indonesia,31,177.0658064516129,2
Ireland,45,160.41577777777778,7
Islamic Republic of Iran,1,224.59,0
Israel,25,241.79919999999998,1
Italy,2,132.575,0
Japan,173,163.74260115606938,22
Jordan,3,243.67333333333332,0
Kenya,1,283.24,0
Kingdom of the Netherlands,26,221.7423076923077,3
Kuwait,1,175.45,0
Latvia,2,72.56,1
Lithuania,7,169.9085714285714,2
Luxembourg,9,231.17222222222225,0
Malaysia,40,189.82274999999998,1
Malta,21,155.61285714285714,3
Mexico,101,167.60792079207923,14
Morocco,10,193.158,1
Myanmar,5,138.042,0
New Zealand,95,88.11115789473683,4
Norway,5,150.658,0
Oman,5,194.584,0
Pakistan,4,246.475,0
Panama,17,222.30176470588236,0
Philippines,45,168.00333333333333,1
Poland,22,186.0681818181818,1
Portugal,24,182.48541666666665,3
Qatar,40,211.36325000000002,4
Republic of Korea,68,186.73147058823528,1
Republic of Moldova,4,182.8275,1
Romania,3,233.6,0
Russian Federation,16,180.88375,1
Rwanda,1,161.1,0
San Marino,4,231.70250000000001,0
Saudi Arabia,7,254.1657142857143,0
Senegal,1,80.87,0
Serbia,5,114.73600000000002,1
Singapore,30,184.274,2
Slovenia,2,225.625,0
Spain,21,183.0457142857143,2
Sri Lanka,5,179.428,1
Sweden,7,176.75428571428571,1
Switzerland,11,82.98363636363636,4
Taiwan,44,176.2290909090909,5
Thailand,30,162.51600000000002,5
Trinidad and Tobago,2,243.565,0
Tunisia,4,233.1775,0
Turkey,145,199.7543448275862,5
Ukraine,5,229.03000000000003,0
United Arab Emirates,66,209.90863636363636,4
United Kingdom,177,193.42807909604517,16
United States,5415,146.49635574436647,519
Uzbekistan,7,202.37142857142857,1
Venezuela,1,199.37,0
Viet Nam,10,200.927,1
