origin_country,total_flights,avg_velocity,on_ground
Afghanistan,1,216.03,0
Algeria,6,222.07000000000002,0
Angola,2,143.73,0
Argentina,22,157.56636363636363,2
Australia,260,112.28173076923076,68
Austria,80,162.270625,14
Azerbaijan,2,115.135,1
Bahrain,6,219.02666666666664,0
Bangladesh,8,208.41,0
Belgium,12,71.5125,7
Bhutan,1,203.75,0
Brazil,156,176.4850641025641,4
Brunei Darussalam,1,180.1,0
Bulgaria,11,216.06363636363633,0
Canada,495,146.60402834008096,50
Cape Verde,1,213.74,0
Chile,27,169.2725925925926,1
China,101,205.81742574257427,6
Colombia,9,166.50666666666666,0
Costa Rica,1,49.18,0
Croatia,3,128.54999999999998,1
Czech Republic,11,169.52818181818182,1
Denmark,16,159.515,1
Dominican Republic,1,232.19,0
Egypt,13,211.57538461538462,0
Estonia,2,114.55,0
Ethiopia,19,232.4621052631579,1
Fiji,1,84.96,0
Finland,14,114.55428571428571,3
France,65,189.4176923076923,5
Georgia,4,124.00999999999999,2
Germany,135,166.40555555555557,22
Greece,14,190.21285714285713,2
Guatemala,12,59.663333333333334,3
Haiti,1,0.19,1
Hungary,47,186.39170212765958,6
Iceland,12,208.18666666666664,0
India,59,192.3208474576271,6
Indonesia,8,145.24625,1
Ireland,233,183.20768240343347,19
Islamic Republic of Iran,1,207.8,0
Israel,27,194.7185185185185,2
Italy,2,132.03,1
Japan,60,133.99833333333333,19
Jordan,3,222.24,0
Kenya,1,264.17,0
Kingdom of the Netherlands,56,203.58892857142857,7
Kuwait,2,242.54500000000002,0
Kyrgyzstan,2,240.16,0
Lao People's Democratic Republic,1,67.1,0
Latvia,13,180.72923076923078,0
Libyan Arab Jamahiriya,2,257.82,0
Lithuania,3,192.07333333333335,1
Luxembourg,11,221.9909090909091,1
Malaysia,25,163.796,2
Malta,107,184.99523364485984,5
Mexico,125,179.08496,10
Morocco,11,204.5609090909091,0
Nepal,2,203.81,0
New Zealand,110,75.4550909090909,13
Nigeria,1,184.81,0
Norway,21,149.91190476190476,2
Oman,7,249.17857142857142,0
Pakistan,2,211.03500000000003,0
Panama,17,193.24941176470588,2
Peru,1,223.41,0
Philippines,38,143.55263157894737,5
Poland,63,163.1615873015873,8
Portugal,38,177.46868421052633,4
Qatar,23,218.2113043478261,2
Republic of Korea,71,187.77591549295775,8
Republic of Moldova,4,243.33249999999998,0
Romania,5,133.324,0
Russian Federation,28,204.54607142857142,1
San Marino,3,89.33,0
Saudi Arabia,10,224.21999999999997,0
Serbia,5,198.152,0
Singapore,47,207.10404255319148,1
Slovenia,1,234.37,0
Solomon Islands,1,101.0,0
South Africa,2,30.835,1
Spain,108,172.92666666666668,7
Sri Lanka,4,178.1175,1
Sudan,1,143.31,0
Sweden,33,161.38060606060606,3
Switzerland,39,131.44102564102565,16
Taiwan,39,188.90692307692308,5
Thailand,41,223.89658536585367,0
Trinidad and Tobago,5,226.73199999999997,0
Tunisia,8,201.99625,1
Turkey,104,208.65567307692305,6
Ukraine,5,202.63600000000002,0
United Arab Emirates,75,229.27159999999998,2
United Kingdom,279,182.5267741935484,26
United States,7525,134.78845407417253,614
Uzbekistan,7,193.77857142857144,2
Venezuela,4,126.25250000000001,0
Viet Nam,26,228.64000000000001,0
