origin_country,total_flights,avg_velocity,on_ground
Algeria,4,205.7975,0
Argentina,11,164.19727272727272,2
Australia,273,117.68205128205129,56
Austria,8,194.93625,0
Azerbaijan,2,113.93499999999999,1
Bahrain,3,243.12666666666667,0
Bangladesh,4,143.3375,0
Belarus,1,169.93,0
Belgium,8,127.6975,3
Bhutan,3,142.58666666666667,0
Brazil,74,172.39756756756756,4
Bulgaria,6,246.62,0
Canada,293,156.88372013651878,42
Chile,29,196.0951724137931,1
China,129,182.61341085271317,19
Colombia,4,241.37,0
Croatia,1,206.12,0
Czech Republic,5,187.27,1
Denmark,4,165.22,1
Dominican Republic,2,69.95,1
Ecuador,1,235.12,0
Egypt,18,219.32555555555555,0
Estonia,1,16.46,1
Ethiopia,11,226.68363636363637,0
Fiji,3,182.67666666666665,0
Finland,8,193.67374999999998,1
France,45,203.13622222222222,3
Georgia,5,143.3,2
Germany,54,202.30074074074074,6
Greece,8,123.35875,3
Guinea,1,193.56,0
Hungary,3,195.42999999999998,0
Iceland,11,225.49909090909088,0
India,80,188.342125,9
Indonesia,26,186.64000000000001,0
Ireland,41,178.8339024390244,4
Islamic Republic of Iran,2,240.89,0
Israel,13,222.63615384615383,1
Japan,164,163.44335365853658,22
Jordan,4,245.20499999999998,0
Kenya,1,91.23,0
Kingdom of the Netherlands,23,216.69260869565218,3
Kuwait,3,189.20333333333335,0
Lao People's Democratic Republic,1,184.89,0
Latvia,5,183.746,1
Lithuania,5,81.6,3
Luxembourg,6,184.28166666666667,1
Malaysia,33,189.10181818181817,1
Malta,16,203.330625,1
Mexico,72,165.84430555555554,7
Morocco,7,190.82142857142858,0
Myanmar,7,161.31,0
New Zealand,82,86.25268292682927,5
Norway,9,164.76444444444442,2
Oman,5,237.70999999999998,0
Pakistan,3,262.17333333333335,0
Panama,20,235.79299999999998,0
Peru,1,137.48,0
Philippines,32,147.7021875,4
Poland,22,181.4509090909091,0
Portugal,20,175.0095,1
Qatar,38,197.09973684210527,6
Republic of Korea,87,190.90172413793104,4
Republic of Moldova,1,230.53,0
Romania,4,217.79,0
Russian Federation,13,182.48538461538462,0
San Marino,3,227.52,0
Saudi Arabia,11,268.6818181818182,0
Senegal,1,79.52,0
Serbia,4,227.015,0
Singapore,35,209.15,2
Spain,29,195.4803448275862,1
Sri Lanka,3,185.89666666666668,0
Sweden,6,220.72,0
Switzerland,11,201.4881818181818,2
Syrian Arab Republic,1,188.7,0
Taiwan,52,177.51923076923077,5
Thailand,37,165.21864864864864,4
Trinidad and Tobago,2,233.14,0
Tunisia,1,200.16,0
Turkey,132,211.08492424242422,6
Ukraine,3,243.84,0
United Arab Emirates,70,228.05385714285714,1
United Kingdom,216,191.09939814814814,22
United States,4411,145.27982086167802,398
Uzbekistan,4,260.6325,0
Venezuela,2,78.01499999999999,0
Viet Nam,10,208.25100000000003,0
