origin_country,total_flights,avg_velocity,on_ground
Algeria,2,208.41,0
Argentina,10,192.82999999999998,0
Australia,373,99.7174798927614,80
Austria,11,179.8272727272727,2
Bahrain,8,219.7825,0
Bangladesh,9,126.53777777777776,1
Belarus,2,114.25,0
Belgium,7,236.8757142857143,0
Bhutan,2,222.435,0
Brazil,65,205.8749230769231,0
Brunei Darussalam,4,148.7725,1
Bulgaria,7,159.48285714285717,2
Burkina Faso,1,213.79,0
Canada,364,141.64184573002754,65
Chile,27,207.23407407407407,1
China,216,185.0662037037037,18
Colombia,4,138.395,1
Czech Republic,4,166.45499999999998,0
Denmark,8,144.755,2
Dominican Republic,1,254.19,0
Egypt,18,226.56555555555553,0
Estonia,1,18.01,1
Ethiopia,12,233.61416666666665,0
Fiji,2,153.265,0
Finland,9,249.6688888888889,0
France,39,159.73153846153846,11
Georgia,2,37.295,2
Germany,59,193.89050847457628,11
Greece,7,169.09428571428572,2
Guatemala,1,88.57,0
Hungary,1,0.0,1
Iceland,11,218.81636363636363,0
India,134,176.20671641791046,19
Indonesia,30,177.91933333333333,0
Ireland,21,156.99428571428572,3
Israel,17,165.75235294117647,5
Italy,2,110.435,1
Japan,210,156.81409523809523,24
Jordan,2,247.93,0
Kazakhstan,3,220.3166666666667,0
Kingdom of the Netherlands,22,225.0159090909091,0
Kuwait,2,232.55,0
Latvia,2,139.78,0
Libyan Arab Jamahiriya,1,224.58,0
Lithuania,1,83.97,1
Luxembourg,6,265.33166666666665,0
Malaysia,47,180.14659574468084,2
Malta,19,174.74578947368423,3
Mexico,76,188.62131578947367,5
Morocco,7,133.49714285714285,2
Myanmar,5,163.256,0
Namibia,1,92.59,0
Nepal,2,30.715,0
New Zealand,61,101.28852459016395,3
Norway,2,273.135,0
Oman,2,151.43,0
Pakistan,2,238.625,0
Panama,13,229.31230769230768,0
Philippines,34,141.25176470588235,4
Poland,12,195.3375,1
Portugal,4,177.2525,1
Qatar,12,276.4633333333333,0
Republic of Korea,102,185.72313725490196,5
Republic of Moldova,1,198.85,0
Romania,2,224.09,1
Russian Federation,19,197.25894736842105,0
Saudi Arabia,10,235.63299999999998,0
Serbia,6,174.13166666666666,0
Singapore,28,194.8642857142857,4
Spain,36,193.28416666666666,2
Sri Lanka,1,257.06,0
Swaziland,1,251.8,0
Sweden,5,240.948,0
Switzerland,12,105.90249999999999,4
Taiwan,65,174.61030769230769,7
Thailand,57,197.52280701754384,1
Trinidad and Tobago,1,139.73,0
Tunisia,2,210.055,0
Turkey,106,206.8902830188679,5
Ukraine,4,191.625,0
United Arab Emirates,55,228.24672727272727,3
United Kingdom,99,194.8539393939394,10
United States,4291,151.0859263574924,412
Uzbekistan,4,167.365,0
Viet Nam,19,211.05263157894737,0
