origin_country,total_flights,avg_velocity,on_ground
Afghanistan,1,214.94,0
Algeria,6,218.01666666666665,0
Angola,3,141.24333333333334,1
Argentina,18,144.42166666666668,3
Australia,44,142.72022727272727,10
Austria,98,172.71306122448982,13
Azerbaijan,1,213.34,0
Bahamas,1,225.29,0
Bahrain,8,239.7575,0
Bangladesh,5,184.238,1
Belgium,34,163.8991176470588,8
Belize,1,58.97,0
Bolivia,1,97.85,0
Brazil,135,161.84762962962964,4
Brunei Darussalam,3,167.57333333333332,1
Bulgaria,19,217.32210526315788,1
Canada,512,134.845703125,67
Cape Verde,1,197.72,0
Chile,33,195.16151515151515,1
China,124,214.4333064516129,8
Colombia,5,96.06400000000001,1
Croatia,9,198.13111111111112,0
Cyprus,1,208.78,0
Czech Republic,16,219.693125,0
Côte d'Ivoire,1,242.56,0
Denmark,21,151.1352380952381,2
Dominican Republic,4,223.3825,0
Egypt,27,199.8174074074074,1
Equatorial Guinea,1,206.2,0
Estonia,11,135.7809090909091,4
Ethiopia,12,203.14166666666665,1
Fiji,1,184.76,0
Finland,39,192.82615384615386,2
France,154,169.92188311688312,19
Georgia,3,95.25333333333333,2
Germany,192,172.48661458333333,24
Greece,46,164.9721739130435,5
Guatemala,12,55.20916666666667,1
Hungary,55,187.63072727272728,4
Iceland,5,168.51,0
India,105,164.82180952380952,5
Indonesia,8,207.45499999999998,0
Ireland,295,188.37220338983053,14
Islamic Republic of Iran,1,221.15,0
Israel,2,253.255,0
Italy,12,136.2775,1
Japan,55,192.924,10
Jordan,5,191.51399999999998,0
Kazakhstan,2,241.945,0
Kenya,4,244.7875,0
Kingdom of the Netherlands,99,166.2241414141414,16
Kuwait,2,233.345,0
Latvia,31,171.26870967741937,4
Libyan Arab Jamahiriya,1,192.72,0
Lithuania,11,173.83636363636364,2
Luxembourg,15,182.324,1
Malaysia,25,217.8888,1
Malta,168,203.54285714285712,6
Mexico,131,165.54473282442748,11
Montenegro,1,159.56,0
Morocco,41,205.93048780487803,0
Nepal,1,211.05,0
New Zealand,42,126.9647619047619,2
Nigeria,1,127.35,0
Norway,41,113.08878048780488,11
Oman,5,203.678,1
Pakistan,3,212.33333333333334,0
Panama,12,226.49749999999997,0
Philippines,15,198.10266666666666,1
Poland,105,190.36409523809525,4
Portugal,58,177.0343103448276,8
Qatar,45,198.8973333333333,3
Republic of Korea,70,223.98542857142857,1
Republic of Moldova,4,144.29500000000002,1
Romania,8,204.4625,0
Russian Federation,28,160.1885714285714,0
San Marino,5,196.50799999999998,0
Saudi Arabia,19,216.04052631578944,0
Senegal,1,88.51,0
Serbia,16,149.271875,2
Singapore,30,221.028,0
Slovakia,3,152.46333333333334,0
Slovenia,1,226.11,0
South Africa,10,141.331,1
Spain,169,170.0414792899408,22
Sri Lanka,2,157.325,0
Sweden,56,186.73410714285714,5
Switzerland,69,162.9749275362319,12
Taiwan,36,208.9347222222222,2
Thailand,34,198.94617647058823,2
Tunisia,12,186.87249999999997,2
Turkey,253,214.27711462450594,5
Turkmenistan,1,259.53,0
Ukraine,3,217.31333333333336,0
United Arab Emirates,70,217.22885714285715,3
United Kingdom,391,172.8871355498721,42
United States,7363,131.80598886172234,546
Uzbekistan,5,173.89600000000002,0
Viet Nam,22,228.91909090909093,1
