origin_country,total_flights,avg_velocity,on_ground
Afghanistan,1,232.15,0
Algeria,4,178.845,0
Antigua and Barbuda,1,174.16,0
Argentina,15,175.6353333333333,1
Australia,414,97.91789855072464,90
Austria,17,111.3529411764706,6
Bahamas,1,128.13,0
Bahrain,1,235.26,0
Bangladesh,7,208.00142857142856,0
Belgium,6,224.26166666666666,1
Bhutan,4,227.8475,0
Bolivia,1,216.58,0
Brazil,97,169.21134020618555,7
Bulgaria,4,209.3125,0
Canada,392,137.58594387755102,68
Central African Republic,1,239.99,0
Chile,38,187.7344736842105,3
China,116,169.54181034482758,16
Colombia,13,183.29615384615383,0
Czech Republic,4,223.1825,0
Denmark,3,216.72,0
Dominican Republic,4,238.3525,0
Egypt,19,240.88000000000002,0
Equatorial Guinea,1,229.12,0
Estonia,1,8.23,0
Ethiopia,12,216.5525,1
Fiji,3,180.9333333333333,0
Finland,9,221.17333333333332,1
France,47,175.63914893617024,9
Georgia,2,37.295,2
Germany,47,159.0195744680851,10
Greece,6,124.62833333333333,3
Guinea,1,204.57,0
Hungary,2,132.055,0
Iceland,12,222.48583333333332,0
India,78,187.0273076923077,12
Indonesia,28,167.4710714285714,2
Ireland,35,161.88571428571427,7
Israel,22,228.56181818181815,2
Italy,4,238.64249999999998,0
Japan,181,162.4703867403315,22
Jordan,5,229.81800000000004,0
Kazakhstan,3,98.55,0
Kenya,3,250.13,0
Kingdom of the Netherlands,15,177.01266666666666,3
Libyan Arab Jamahiriya,2,201.615,0
Lithuania,5,103.958,3
Luxembourg,2,273.5,0
Malaysia,33,194.28242424242424,0
Malta,16,178.618125,2
Mexico,90,169.09155555555554,8
Morocco,3,175.44000000000003,0
Myanmar,7,109.92571428571429,1
Nepal,1,247.44,0
New Zealand,77,87.94909090909091,5
Norway,7,115.11571428571428,2
Oman,6,198.17833333333337,0
Pakistan,2,171.175,0
Panama,20,201.451,1
Philippines,51,140.85999999999999,4
Poland,10,166.97899999999998,1
Portugal,13,152.09230769230768,2
Qatar,26,232.68538461538463,1
Republic of Korea,71,198.0194366197183,3
Romania,5,215.046,0
Russian Federation,16,191.82375,0
San Marino,2,110.64,0
Saudi Arabia,8,241.4425,0
Serbia,2,118.30499999999999,1
Singapore,27,190.1548148148148,1
Slovakia,1,204.3,0
Slovenia,1,0.0,1
Spain,35,180.65314285714285,5
Sri Lanka,2,132.27,1
Sweden,5,130.006,2
Switzerland,11,143.17,4
Syrian Arab Republic,1,228.18,0
Taiwan,58,162.61741379310345,11
Thailand,28,156.06321428571428,3
Trinidad and Tobago,4,169.4925,0
Tunisia,1,217.38,0
Turkey,113,204.1449557522124,6
Ukraine,4,242.13,0
United Arab Emirates,77,220.3322077922078,0
United Kingdom,115,170.45208695652175,15
United States,5200,142.99460000000002,531
Uruguay,1,68.71,0
Uzbekistan,5,156.67000000000002,1
Viet Nam,9,211.02777777777777,0
